" Product"," Status"," Volume Pricing"," Architecture"," Memory Type"," Program Memory KBytes"," Program Memory KWords"," Self-write"," EEPROM Data Memory"," RAM"," I/O Pins"," Pin count"," Max. CPU Speed MHz"," CPU Speed MIPS"," Internal Oscillator"," # of A/D Ch."," Cap Touch Channels"," Digital Communication"," Timers"," Temperature Range"," Operation Voltage Range"," Packages"
"  dsPIC33FJ32GS406"," In Production "," $3.07"," 16"," Flash"," 32"," 11"," Yes"," 0"," 4096"," 53"," 64"," 120"," 50"," 7.37 MHz, 32 kHz "," 16","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 64/QFN 64/TQFP"
"  dsPIC33FJ32GS606"," In Production "," $3.36"," 16"," Flash"," 32"," 11"," Yes"," 0"," 4096"," 53"," 64"," 120"," 50"," 7.37 MHz, 32 kHz "," 16","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 64/QFN 64/TQFP"
"  dsPIC33FJ32GS608"," In Production "," $3.85"," 16"," Flash"," 32"," 11"," Yes"," 0"," 4096"," 69"," 80"," 120"," 50"," 7.37 MHz, 32 kHz "," 18","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 80/TQFP"
"  dsPIC33FJ32GS610"," In Production "," $4.41"," 16"," Flash"," 32"," 11"," Yes"," 0"," 4096"," 85"," 100"," 120"," 50"," 7.37 MHz, 32 kHz "," 24","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 100/TQFP"
"  dsPIC33FJ32MC101"," Samples Available "," $1.68"," 16"," Flash"," 32"," 8"," Yes"," 0"," 2048"," 15"," 20"," 40"," 16"," 7.37 MHz, 32 kHz "," 4","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 20/PDIP 20/SOIC 300mil 20/SSOP 208mil"
"  dsPIC33FJ32MC102"," Samples Available "," $1.76"," 16"," Flash"," 32"," 8"," Yes"," 0"," 2048"," 21"," 28"," 40"," 16"," 7.37 MHz, 32 kHz "," 8","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 28/QFN 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 36/VTLA"
"  dsPIC33FJ32MC104"," In Production "," $2.02"," 16"," Flash"," 32"," 8"," Yes"," 0"," 2048"," 35"," 44"," 40"," 16"," 8 MHz, 32 kHz "," 14","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 44/QFN 44/TQFP 44/VLAP"
"  dsPIC33FJ32MC202"," In Production "," $2.60"," 16"," Flash"," 32"," 11"," Yes"," 0"," 2048"," 21"," 28"," 80"," 40"," 7.37 MHz, 512 kHz "," 6","  "," 1 -UART    0 -A/E/USART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 28/QFN-S 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil"
"  dsPIC33FJ32MC204"," In Production "," $2.76"," 16"," Flash"," 32"," 11"," Yes"," 0"," 2048"," 35"," 44"," 80"," 40"," 7.37 MHz, 512 kHz "," 9","  "," 1 -UART    0 -A/E/USART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 44/QFN 44/TQFP"
"  dsPIC33FJ32MC302"," In Production "," $2.87"," 16"," Flash"," 32"," 11"," Yes"," 0"," 4096"," 21"," 28"," 80"," 40"," 7.37 MHz, 512 kHz "," 6","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 28/QFN-S 28/SOIC 300mil 28/SPDIP"
"  dsPIC33FJ32MC304"," In Production "," $3.12"," 16"," Flash"," 32"," 11"," Yes"," 0"," 4096"," 35"," 44"," 80"," 40"," 7.37 MHz, 512 kHz "," 9","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 44/QFN 44/TQFP"
"  dsPIC33FJ64GP202"," In Production "," $3.12"," 16"," Flash"," 64"," 21"," Yes"," 0"," 8192"," 21"," 28"," 80"," 40"," 7.37 MHz, 512 kHz "," 10","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 28/QFN-S 28/SOIC 300mil 28/SPDIP"
"  dsPIC33FJ64GP204"," In Production "," $3.29"," 16"," Flash"," 64"," 21"," Yes"," 0"," 8192"," 35"," 44"," 80"," 40"," 7.37 MHz, 512 kHz "," 13","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 44/QFN 44/TQFP"
"  dsPIC33FJ64GP206A"," In Production "," $3.39"," 16"," Flash"," 64"," 21"," Yes"," 0"," 8192"," 53"," 64"," 80"," 40"," 7.37 MHz, 512 kHz "," 18","  "," 2 -UART    2 -SPI    1 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 64/QFN 64/TQFP"
"  dsPIC33FJ64GP306A"," In Production "," $3.53"," 16"," Flash"," 64"," 21"," Yes"," 0"," 16384"," 53"," 64"," 80"," 40"," 7.37 MHz, 512 kHz "," 18","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 64/QFN 64/TQFP"
"  dsPIC33FJ64GP310A"," In Production "," $3.99"," 16"," Flash"," 64"," 21"," Yes"," 0"," 16384"," 85"," 100"," 80"," 40"," 7.37 MHz, 512 kHz "," 32","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 100/TQFP"
"  dsPIC33FJ64GP706A"," In Production "," $4.14"," 16"," Flash"," 64"," 21"," Yes"," 0"," 16384"," 53"," 64"," 80"," 40"," 7.37 MHz, 512 kHz "," 18","  "," 2 -UART    2 -SPI    2 -I2C    0 -MSSP(SPI/I2C)   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 64/QFN 64/TQFP"
"  dsPIC33FJ64GP708A"," In Production "," $4.44"," 16"," Flash"," 64"," 21"," Yes"," 0"," 16384"," 69"," 80"," 80"," 40"," 7.37 MHz, 512 kHz "," 24","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 80/TQFP"
"  dsPIC33FJ64GP710A"," In Production "," $4.61"," 16"," Flash"," 64"," 21"," Yes"," 0"," 16384"," 85"," 100"," 80"," 40"," 7.37 MHz, 512 kHz "," 32","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 100/TQFP"
"  dsPIC33FJ64GP802"," In Production "," $3.42"," 16"," Flash"," 64"," 21"," Yes"," 0"," 16384"," 21"," 28"," 80"," 40"," 7.37 MHz, 512 kHz "," 10","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 28/QFN-S 28/SOIC 300mil 28/SPDIP"
"  dsPIC33FJ64GP804"," In Production "," $3.65"," 16"," Flash"," 64"," 21"," Yes"," 0"," 16384"," 35"," 44"," 80"," 40"," 7.37 MHz, 512 kHz "," 13","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 44/QFN 44/TQFP"
"  dsPIC33FJ64GS406"," In Production "," $3.35"," 16"," Flash"," 64"," 21"," Yes"," 0"," 8192"," 53"," 64"," 120"," 50"," 7.37 MHz, 32 kHz "," 16","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 64/QFN 64/TQFP"
"  dsPIC33FJ64GS606"," In Production "," $3.81"," 16"," Flash"," 64"," 21"," Yes"," 0"," 9216"," 53"," 64"," 120"," 50"," 7.37 MHz, 32 kHz "," 16","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 64/QFN 64/TQFP"
"  dsPIC33FJ64GS608"," In Production "," $4.34"," 16"," Flash"," 64"," 21"," Yes"," 0"," 9216"," 69"," 80"," 120"," 50"," 7.37 MHz, 32 kHz "," 18","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 80/TQFP"
"  dsPIC33FJ64GS610"," In Production "," $4.89"," 16"," Flash"," 64"," 21"," Yes"," 0"," 9216"," 85"," 100"," 120"," 50"," 7.37 MHz, 32 kHz "," 24","  "," 2 -UART    0 -A/E/USART    2 -SPI    2 -I2C   "," 0 - 8-bit   4 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 100/TQFP"
"  dsPIC33FJ64MC202"," In Production "," $3.29"," 16"," Flash"," 64"," 21"," Yes"," 0"," 8192"," 21"," 28"," 80"," 40"," 7.37 MHz, 512 kHz "," 6","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 28/QFN-S 28/SOIC 300mil 28/SPDIP"
"  dsPIC33FJ64MC204"," In Production "," $3.39"," 16"," Flash"," 64"," 21"," Yes"," 0"," 8192"," 35"," 44"," 80"," 40"," 7.37 MHz, 512 kHz "," 9","  "," 2 -UART    0 -A/E/USART    2 -SPI    1 -I2C   "," 0 - 8-bit   5 - 16-bit    2 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 44/QFN 44/TQFP"
"  dsPIC33FJ64MC506A"," In Production "," $3.84"," 16"," Flash"," 64"," 21"," Yes"," 0"," 8192"," 53"," 64"," 80"," 40"," 7.37 MHz, 512 kHz "," 16","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 64/QFN 64/TQFP"
